'account_number','service_class','service_index','oc_class','char1','char2'
'7048208010',S001,'800007535','60401018',X,X
'7048208010',S001,'800007535','91507998',X,''
'7048208010',S004,'800008022','60804001',X,''
'7048208010',S004,'800007318','60804001',X,''
'7048208010',S004,'800007315','60804001',X,''
'7048208010',S004,'800007626','60804001',X,''
'7048208010',S004,'800007631','60804001',X,''
'7048208010',S001,'800007318','60401099',X,''
'7048208010',S001,'800007318','91507998',X,''
'7048208010',S001,'800007626','60401099',X,''
'7048208010',S001,'800007626','91507998',X,''
'7048208010',S001,'800007631','60401099',X,''
'7048208010',S001,'800007631','91507998',X,''
'7048208010',S001,'800007535','60401018','',X
'7048208010',S001,'800003301','60401099',X,''
'7048208010',S001,'800003301','60401018','',X
'7048208010',S001,'800003301','91507998',X,''
'7048208010',S001,'800007258','60401099',X,''
'7048208010',S001,'800003299','91507998',X,''
'7048208010',S004,'800008022','60401018',X,''
'7048208010',S004,'800008022','60401018',X,X
'7048208010',S004,'800008022','60401018','',X
'7048208010',S004,'800008022','60401099',X,''
'7048208010',S004,'800007318','60401018',X,''
'7048208010',S004,'800007318','60401018',X,X
'7048208010',S004,'800007318','60401018','',X
'7048208010',S004,'800007318','60401099',X,''
'7048208010',S004,'800007315','60401018',X,''
'7048208010',S004,'800007315','60401018',X,X
'7048208010',S004,'800007315','60401018','',X
'7048208010',S004,'800007315','60401099',X,''
'7048208010',S001,'800003297','60401018',X,X
'7048208010',S001,'800003297','60401018','',X
'7048208010',S001,'800003297','60401018',X,''
'7048208010',S001,'800007630','60401018','',X
'7048208010',S001,'800007630','60401018',X,''
'7048208010',S001,'800007336','60804001',X,''
'7048208010',S001,'800006393','60401018',X,''
'7048208010',S001,'800006393','60401018',X,X
'7048208010',S001,'800006393','60804001',X,''
'7048208010',S001,'800003299','60401018','',X
'7048208010',S001,'800007336','60401018',X,X
'7048208010',S001,'800007336','60401018','',X
'7048208010',S001,'800007336','60401018',X,''
'7048208010',S001,'800007335','60401018',X,''
'7048208010',S001,'800007335','60401018','',X
'7048208010',S001,'800007629','60804001',X,''
'7048208010',S001,'800007629','60401018','',X
'7048208010',S001,'800007629','60401018',X,X
'7048208010',S001,'800007629','60401018',X,''
'7048208010',S001,'800003297','60804001',X,''
'7048208010',S001,'800007336','91507998',X,''
'7048208010',S001,'800007630','60804001',X,''
'7048208010',S001,'800007627','60804001',X,''
'7048208010',S001,'800007627','60401018',X,''
'7048208010',S001,'800007627','60401018',X,X
'7048208010',S038,'800008022','60804001',X,''
'7048208010',S038,'800008022','60401018',X,''
'7048208010',S038,'800008022','60401018',X,X
'7048208010',S038,'800008022','60401018','',X
'7048208010',S001,'800006393','60401018','',X
'7048208010',S004,'800007310','60401018',X,''
'7048208010',S001,'800010110','60804001',X,''
'7048208010',S001,'800007339','60804001',X,''
'7048208010',S036,'800008022','91507998',X,''
'7048208010',S036,'800008022','60804001',X,''
'7048208010',S036,'800008022','60401018',X,''
'7048208010',S036,'800008022','60401018',X,X
'7048208010',S038,'800007315','60804001',X,''
'7048208010',S038,'800007315','60401018',X,''
'7048208010',S038,'800007315','60401018',X,X
'7048208010',S038,'800007315','60401018','',X
'7048208010',S001,'800007256','60401018',X,''
'7048208010',S036,'800008022','60401018','',X
'7048208010',S001,'800010110','60401018',X,''
'7048208010',S001,'800010110','60401018',X,X
'7048208010',S001,'800010243','60804001',X,''
'7048208010',S001,'800010243','60401018',X,''
'7048208010',S001,'800010243','60401018',X,X
'7048208010',S001,'800010242','60804001',X,''
'7048208010',S001,'800010242','60401018',X,''
'7048208010',S001,'800010242','60401018',X,X
'7048208010',S001,'800007629','91507998',X,''
'7048208010',S001,'800007890','60401018',X,''
'7048208010',S005,'800007315','60401018',X,''
'7048208010',S005,'800007315','60401018','',X
'7048208010',S005,'800008022','60401018',X,''
'7048208010',S005,'800008022','60401018','',X
'7048208010',S001,'800007256','60804001',X,''
'7048208010',S001,'800003299','60401099',X,''
'7048208010',S001,'800007256','60401018',X,X
'7048208010',S001,'800007256','60401018','',X
'7048208010',S001,'800007627','60401018','',X
'7048208010',S001,'800007890','60401018',X,X
'7048208010',S001,'800007628','60401018',X,''
'7048208010',S001,'800007628','60401018',X,X
'7048208010',S036,'800007315','60804001',X,''
'7048208010',S036,'800007315','60401018',X,''
'7048208010',S036,'800007315','60401018','',X
'7048208010',S001,'800007630','60401018',X,X
'7048208010',S001,'800009392','60401018',X,''
'7048208010',S001,'800007335','60804001',X,''
'7048208010',S001,'800007335','60401018',X,X
'7048208010',S001,'800007628','60401018','',X
'7048208010',S001,'800007890','60401018','',X
'7048208010',S001,'800007628','60804001',X,''
'7048208010',S001,'800007890','60804001',X,''
'7048208010',S001,'800007337','60401018',X,''
'7048208010',S001,'800008951','60401018',X,''
'7048208010',S001,'800008951','60401018',X,X
'7048208010',S001,'800008951','60804001',X,''
'7048208010',S004,'800007535','60804001',X,''
'7048208010',S004,'800007535','60401018',X,''
'7048208010',S004,'800007535','60401018',X,X
'7048208010',S004,'800007535','91507998',X,''
'7048208010',S004,'800007311','60804001',X,''
'7048208010',S004,'800007311','60401018',X,''
'7048208010',S004,'800007311','60401018',X,X
'7048208010',S004,'800007311','91507998',X,''
'7048208010',S004,'800007336','60804001',X,''
'7048208010',S004,'800007336','60401018',X,''
'7048208010',S004,'800007336','60401018',X,X
'7048208010',S004,'800007336','91507998',X,''
'7048208010',S001,'800006393','91507998',X,''
'7048208010',S001,'800003297','91507998',X,''
'7048208010',S001,'800000706','60401109',X,''
'7048208010',S001,'800007535','60401109',X,''
'7048208010',S001,'800010240','60401018',X,''
'7048208010',S001,'800010240','60401018',X,X
'7048208010',S001,'800010241','60804001',X,''
'7048208010',S001,'800009392','60804001',X,''
'7048208010',S004,'800007626','60401018',X,X
'7048208010',S004,'800007626','60401018',X,''
'7048208010',S001,'800010282','60804001',X,''
'7048208010',S001,'800010282','60401018',X,''
'7048208010',S001,'800010282','60401018',X,X
'7048208010',S001,'800010282','60401018','',X
'7048208010',S004,'800003299','60804001',X,''
'7048208010',S004,'800003299','60401018',X,''
'7048208010',S004,'800003299','60401018',X,X
'7048208010',S004,'800003299','60401109',X,''
'7048208010',S004,'800003300','60804001',X,''
'7048208010',S004,'800003300','60401018',X,''
'7048208010',S004,'800003300','60401018',X,X
'7048208010',S004,'800003300','60401109',X,''
'7048208010',S004,'800007335','60804001',X,''
'7048208010',S004,'800007335','60401018',X,''
'7048208010',S004,'800007335','60401018',X,X
'7048208010',S004,'800007335','60401109',X,''
'7048208010',S001,'800003300','60401109',X,''
'7048208010',S001,'800007335','60401109',X,''
'7048208010',S001,'800009453','60401018',X,''
'7048208010',S001,'800009453','60401018',X,X
'7048208010',S001,'800009392','60401018',X,X
'7048208010',S001,'800003428','60804001',X,''
'7048208010',S001,'800007335','91507998',X,''
'7048208010',S004,'800007627','60804001',X,''
'7048208010',S005,'800007315','60804001',X,''
'7048208010',S005,'800007315','60401018',X,X
'7048208010',S005,'800007315','91507998',X,''
'7048208010',S001,'800007337','60804001',X,''
'7048208010',S001,'800007713','60804001',X,''
'7048208010',S001,'800007713','60401018',X,''
'7048208010',S001,'800007713','60401018','',X
'7048208010',S001,'800009600','60804001',X,''
'7048208010',S004,'800007535','60401018','',X
'7048208010',S004,'800007336','60401018','',X
'7048208010',S004,'800007311','60401018','',X
'7048208010',S004,'800007310','60804001',X,''
'7048208010',S004,'800007310','60401018',X,X
'7048208010',S004,'800007310','60401018','',X
'7048208010',S001,'800007339','60401018',X,''
'7048208010',S001,'800007339','60401018',X,X
'7048208010',S036,'800007535','60804001',X,''
'7048208010',S036,'800007535','60401018','',X
'7048208010',S036,'800007535','60401018',X,''
'7048208010',S036,'800007535','60401018',X,X
'7048208010',S036,'800007311','60804001',X,''
'7048208010',S036,'800007311','60401018',X,X
'7048208010',S036,'800007311','60401018',X,''
'7048208010',S036,'800007311','60401018','',X
'7048208010',S036,'800007335','60804001',X,''
'7048208010',S036,'800007335','60401018','',X
'7048208010',S036,'800007335','60401018',X,''
'7048208010',S001,'800010110','60401018','',X
'7048208010',S001,'800010110','91507998',X,''
'7048208010',S001,'800007339','60401018','',X
'7048208010',S001,'800007339','91507998',X,''
'7048208010',S001,'800007337','60401018',X,X
'7048208010',S001,'800007337','60401018','',X
'7048209010',S004,'800003254','91507998',X,''
'7048209010',S004,'800003254','60401018',X,''
'7048209010',S004,'800003261','91507998',X,''
'7048209010',S004,'800003261','60401018',X,''
'7048209010',S004,'800001855','91507998',X,''
'7048209010',S004,'800001855','60401018',X,''
'7048209010',S004,'800003254','60401018',X,X
'7048209010',S004,'800003261','60401018',X,X
'7048209010',S004,'800007377','60401018',X,X
'7048209010',S004,'800007377','60401018',X,''
'7048209010',S004,'800003254','60804001',X,''
'7048209010',S004,'800003261','60804001',X,''
'7048209010',S004,'800000717','60804001',X,''
'7048209010',S004,'800001820','60401018',X,''
'7048209010',S004,'800003250','60401018',X,''
'7048209010',S004,'800007397','60401018',X,''
'7048209010',S004,'800007397','60401018',X,X
'7048209010',S004,'800001931','60804001',X,''
'7048209010',S004,'800003262','60804001',X,''
'7048209010',S004,'800003262','60401018',X,''
'7048209010',S004,'800003262','60401018',X,X
'7048209010',S004,'800001855','60401018',X,X
'7048209010',S036,'800000717','60804001',X,''
'7048209010',S004,'800003306','60804001',X,''
'7048209010',S004,'800003306','60401018',X,X
'7048209010',S004,'800003306','60401018',X,''
'7048209010',S004,'800003306','91507998',X,''
'7048209010',S004,'800001821','60804001',X,''
'7048209010',S004,'800001855','60804001',X,''
'7048209010',S004,'800000717','60401018',X,''
'7048209010',S004,'800003261','60401099',X,''
'7048209010',S004,'800001820','60804001',X,''
